"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_1.CR300","21589","Table_CS655"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","CS655_VWC_5_Avg","CS655_EC_5_Avg","CS655_Temp_5_Avg","CS655_Perm_5_Avg","CS655_PA_5_Avg","CS655_VR_5_Avg","CS655_VWC_20_Avg","CS655_EC_20_Avg","CS655_Temp_20_Avg","CS655_Perm_20_Avg","CS655_PA_20_Avg","CS655_VR_20_Avg","CS655_VWC_40_Avg","CS655_EC_40_Avg","CS655_Temp_40_Avg","CS655_Perm_40_Avg","CS655_PA_40_Avg","CS655_VR_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3/m^3","dS/m","Deg c","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg c","unitless","nSec","unitless"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-30 09:00:00",0,"Testbed Site 1",39.10236,-96.60097,335,0.219,0.163,23.53,11.61,1.53,1.205,0.448,0.49,25.5,30.55,1.957,1.616,0.445,0.562,25.64,30.11,1.95,1.706
"2022-06-30 10:00:00",1,"Testbed Site 1",39.10236,-96.60097,335,0.219,0.168,24.92,11.6,1.53,1.211,0.448,0.484,25.3,30.52,1.956,1.608,0.445,0.561,25.53,30.05,1.949,1.705
"2022-06-30 11:00:00",2,"Testbed Site 1",39.10236,-96.60097,335,0.219,0.174,26.7,11.65,1.532,1.218,0.448,0.483,25.22,30.5,1.955,1.608,0.444,0.559,25.44,30.03,1.948,1.703
"2022-06-30 12:00:00",3,"Testbed Site 1",39.10236,-96.60097,335,0.22,0.18,28.78,11.68,1.534,1.226,0.448,0.488,25.25,30.48,1.955,1.614,0.444,0.558,25.35,29.99,1.947,1.701
"2022-06-30 13:00:00",4,"Testbed Site 1",39.10236,-96.60097,335,0.222,0.186,30.8,11.78,1.538,1.234,0.448,0.491,25.41,30.54,1.957,1.617,0.444,0.557,25.26,29.93,1.946,1.699
"2022-06-30 14:00:00",5,"Testbed Site 1",39.10236,-96.60097,335,0.222,0.194,32.58,11.8,1.539,1.244,0.449,0.486,25.69,30.6,1.957,1.612,0.443,0.556,25.17,29.91,1.946,1.699
"2022-06-30 15:00:00",6,"Testbed Site 1",39.10236,-96.60097,335,0.223,0.2,33.94,11.83,1.541,1.251,0.449,0.499,26.08,30.65,1.959,1.628,0.443,0.555,25.1,29.87,1.945,1.697
"2022-06-30 16:00:00",7,"Testbed Site 1",39.10236,-96.60097,335,0.223,0.204,34.79,11.86,1.542,1.256,0.45,0.504,26.56,30.73,1.96,1.635,0.443,0.555,25.07,29.87,1.945,1.697
"2022-06-30 17:00:00",8,"Testbed Site 1",39.10236,-96.60097,335,0.225,0.205,35.05,11.94,1.544,1.257,0.45,0.505,27.03,30.81,1.962,1.636,0.443,0.554,25.05,29.87,1.945,1.696
"2022-06-30 18:00:00",9,"Testbed Site 1",39.10236,-96.60097,335,0.224,0.205,34.82,11.93,1.544,1.257,0.451,0.514,27.5,30.86,1.963,1.647,0.443,0.554,25.04,29.87,1.945,1.696
"2022-06-30 19:00:00",10,"Testbed Site 1",39.10236,-96.60097,335,0.223,0.203,34.08,11.85,1.542,1.255,0.451,0.519,27.9,30.93,1.964,1.653,0.443,0.555,25.08,29.87,1.945,1.697
"2022-06-30 20:00:00",11,"Testbed Site 1",39.10236,-96.60097,335,0.222,0.199,32.79,11.82,1.54,1.25,0.452,0.517,28.18,31,1.966,1.651,0.443,0.556,25.12,29.87,1.945,1.698
"2022-06-30 21:00:00",12,"Testbed Site 1",39.10236,-96.60097,335,0.221,0.195,31.48,11.75,1.538,1.244,0.452,0.519,28.37,31,1.966,1.653,0.443,0.556,25.17,29.86,1.945,1.699
"2022-06-30 22:00:00",13,"Testbed Site 1",39.10236,-96.60097,335,0.22,0.191,30.31,11.7,1.536,1.24,0.452,0.519,28.42,31,1.966,1.653,0.443,0.557,25.27,29.86,1.945,1.7
"2022-06-30 23:00:00",14,"Testbed Site 1",39.10236,-96.60097,335,0.219,0.187,29.38,11.64,1.534,1.235,0.452,0.523,28.4,30.99,1.966,1.658,0.444,0.558,25.34,29.92,1.946,1.701
"2022-07-01 00:00:00",15,"Testbed Site 1",39.10236,-96.60097,335,0.219,0.184,28.61,11.62,1.533,1.231,0.452,0.522,28.29,30.99,1.966,1.657,0.443,0.56,25.4,29.92,1.946,1.703
"2022-07-01 01:00:00",16,"Testbed Site 1",39.10236,-96.60097,335,0.218,0.18,28.01,11.6,1.532,1.226,0.451,0.52,28.14,30.93,1.964,1.654,0.444,0.56,25.48,29.94,1.947,1.704
"2022-07-01 02:00:00",17,"Testbed Site 1",39.10236,-96.60097,335,0.218,0.18,27.55,11.56,1.531,1.226,0.451,0.514,27.94,30.92,1.964,1.647,0.444,0.561,25.52,29.98,1.947,1.705
"2022-07-01 03:00:00",18,"Testbed Site 1",39.10236,-96.60097,335,0.217,0.179,27.14,11.52,1.53,1.225,0.451,0.508,27.77,30.9,1.963,1.639,0.444,0.562,25.56,29.98,1.947,1.706
"2022-07-01 04:00:00",19,"Testbed Site 1",39.10236,-96.60097,335,0.216,0.177,26.75,11.48,1.528,1.223,0.451,0.514,27.59,30.83,1.963,1.647,0.444,0.563,25.6,29.97,1.947,1.707
"2022-07-01 05:00:00",20,"Testbed Site 1",39.10236,-96.60097,335,0.216,0.176,26.41,11.44,1.527,1.222,0.45,0.508,27.41,30.81,1.962,1.639,0.444,0.563,25.62,29.97,1.947,1.707
"2022-07-01 06:00:00",21,"Testbed Site 1",39.10236,-96.60097,335,0.215,0.175,26.05,11.42,1.526,1.22,0.45,0.509,27.22,30.76,1.961,1.641,0.444,0.563,25.63,29.97,1.947,1.707
"2022-07-01 07:00:00",22,"Testbed Site 1",39.10236,-96.60097,335,0.215,0.174,25.81,11.39,1.525,1.218,0.45,0.5,27.04,30.74,1.96,1.629,0.444,0.563,25.62,29.97,1.947,1.707
"2022-07-01 08:00:00",23,"Testbed Site 1",39.10236,-96.60097,335,0.214,0.173,25.8,11.37,1.525,1.218,0.45,0.502,26.87,30.71,1.96,1.631,0.444,0.563,25.62,29.97,1.947,1.707
"2022-07-01 09:00:00",24,"Testbed Site 1",39.10236,-96.60097,335,0.214,0.174,26.08,11.37,1.525,1.218,0.449,0.5,26.7,30.67,1.959,1.629,0.444,0.563,25.59,29.97,1.947,1.707
