"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_codeSeparateTables-NoDelay.CR300","57864","Table_DrillDrop"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","DrillDrop_VWC_5_Avg","DrillDrop_VWC_15_Avg","DrillDrop_VWC_25_Avg","DrillDrop_VWC_35_Avg","DrillDrop_VWC_45_Avg","DrillDrop_VWC_55_Avg","DrillDrop_sal_5_Avg","DrillDrop_sal_15_Avg","DrillDrop_sal_25_Avg","DrillDrop_sal_35_Avg","DrillDrop_sal_45_Avg","DrillDrop_sal_55_Avg","DrillDrop_Temp_5_Avg","DrillDrop_Temp_15_Avg","DrillDrop_Temp_25_Avg","DrillDrop_Temp_35_Avg","DrillDrop_Temp_45_Avg","DrillDrop_Temp_55_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","%","%","%","%","%","VIC","VIC","VIC","VIC","VIC","VIC","Deg c","Deg c","Deg c","Deg c","Deg c","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-01 10:26:00",0,"Ashland Bottoms S1",39.12561,-96.6388,326,0.306,0.068,0.059,0.005,0.005,0.038,361.7,277.7,280.9,208.9,206.1,245.7,21.98,22.2,21.85,21.34,21.52,21.51
"2022-06-01 10:28:00",1,"Ashland Bottoms S1",39.12561,-96.6388,326,0.305,0.068,0.059,0.006,0.005,0.038,360.5,277.9,281,208.9,205.8,245.7,22.04,22.2,21.91,21.36,21.48,21.51
"2022-06-01 10:30:00",2,"Ashland Bottoms S1",39.12561,-96.6388,326,0.305,0.068,0.059,0.006,0.005,0.038,362.8,277.9,281,209.2,205.8,245.7,22.13,22.22,21.92,21.31,21.52,21.53
"2022-06-01 10:32:00",3,"Ashland Bottoms S1",39.12561,-96.6388,326,0.305,0.068,0.059,0.005,0.005,0.038,361.7,277.7,281,209.4,205.8,245.7,22,22.2,21.93,21.4,21.58,21.53
"2022-06-01 10:34:00",4,"Ashland Bottoms S1",39.12561,-96.6388,326,0.305,0.067,0.059,0.006,0.005,0.038,360.8,277.7,281,209.4,205.8,245.7,22.06,22.26,21.93,21.31,21.54,21.56
"2022-06-01 10:36:00",5,"Ashland Bottoms S1",39.12561,-96.6388,326,0.306,0.067,0.059,0.005,0.005,0.038,360.5,277.9,281.2,209.4,205.5,245.7,22.07,22.2,21.99,21.4,21.55,21.51
"2022-06-01 10:38:00",6,"Ashland Bottoms S1",39.12561,-96.6388,326,0.306,0.067,0.059,0.005,0.005,0.038,361.4,277.9,281,209.4,206.1,245.7,22.1,22.23,22.04,21.29,21.53,21.53
"2022-06-01 10:40:00",7,"Ashland Bottoms S1",39.12561,-96.6388,326,0.304,0.068,0.059,0.006,0.005,0.038,361.7,277.9,281,209.4,206.4,246,22.11,22.2,22.01,21.37,21.51,21.53
