"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_codeSeparateTables-NoDelay.CR300","57864","Table_SoilVue"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","SoilVue_VWC_5_Avg","SoilVue_Perm_5_Avg","SoilVue_Temp_5_Avg","SoilVue_EC_5_Avg","SoilVue_VWC_10_Avg","SoilVue_Perm_10_Avg","SoilVue_Temp_10_Avg","SoilVue_EC_10_Avg","SoilVue_VWC_20_Avg","SoilVue_Perm_20_Avg","SoilVue_Temp_20_Avg","SoilVue_EC_20_Avg","SoilVue_VWC_30_Avg","SoilVue_Perm_30_Avg","SoilVue_Temp_30_Avg","SoilVue_EC_30_Avg","SoilVue_VWC_40_Avg","SoilVue_Perm_40_Avg","SoilVue_Temp_40_Avg","SoilVue_EC_40_Avg","SoilVue_VWC_50_Avg","SoilVue_Perm_50_Avg","SoilVue_Temp_50_Avg","SoilVue_EC_50_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-01 10:26:00",0,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.218,21.85,0.004,0,1.233,21.82,0.004,0,1.317,21.78,0.008,0,1.414,22.21,0.003,0,1.191,22,0.007,0,1.359,21.88,0.006
"2022-06-01 10:28:00",1,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.245,21.85,0.003,0,1.28,21.82,0.004,0,1.361,21.79,0.012,0,1.424,22.26,0.004,0,1.179,22.05,0.008,0,1.351,21.91,0.009
"2022-06-01 10:30:00",2,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.26,21.85,0.002,0,1.228,21.82,0.005,0,1.357,21.79,0.008,0,1.411,22.29,0.006,0,1.169,22.08,0.01,0,1.341,21.91,0.011
"2022-06-01 10:32:00",3,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.196,21.88,0,0,1.222,21.82,0.004,0,1.308,21.82,0.009,0,1.418,22.35,0.004,0,1.196,22.11,0.011,0,1.312,21.91,0.009
"2022-06-01 10:34:00",4,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.262,21.88,0.001,0,1.299,21.85,0.007,0,1.412,21.82,0.01,0,1.427,22.4,0.001,0,1.131,22.14,0.005,0,1.337,21.94,0.005
"2022-06-01 10:36:00",5,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.236,21.88,0.002,0,1.265,21.85,0.001,0,1.356,21.82,0.007,0,1.459,22.43,0.003,0,1.146,22.17,0.008,0,1.314,21.94,0.007
"2022-06-01 10:38:00",6,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.181,21.88,0.002,0,1.092,21.85,0.005,0,1.369,21.85,0.011,0,1.415,22.49,0.004,0,1.239,22.2,0.01,0,1.292,21.97,0.009
"2022-06-01 10:40:00",7,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.263,21.91,0.004,0,1.181,21.88,0.006,0,1.301,21.85,0.008,0,1.492,22.52,0.004,0,1.162,22.23,0.006,0,1.296,21.97,0.008
