"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_1.CR300","21589","Table_Teros21"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Teros21_Matric_P_5_Avg","Teros21_Temp_5_Avg","Teros21_Matric_P_20_Avg","Teros21_Temp_20_Avg","Teros21_Matric_P_40_Avg","Teros21_Temp_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","kPa","Deg c","kPa","Deg c","kPa","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-30 09:00:00",0,"Testbed Site 1",39.10236,-96.60097,335,-105.5,23.7,-45.53,25.6,-39.4,25.37
"2022-06-30 10:00:00",1,"Testbed Site 1",39.10236,-96.60097,335,-105.1,25.1,-45.43,25.37,-38.8,25.27
"2022-06-30 11:00:00",2,"Testbed Site 1",39.10236,-96.60097,335,-106.8,26.2,-45.3,25.23,-38.03,25.2
"2022-06-30 12:00:00",3,"Testbed Site 1",39.10236,-96.60097,335,-108.2,26.43,-45.2,25.2,-37.47,25.1
"2022-06-30 13:00:00",4,"Testbed Site 1",39.10236,-96.60097,335,-109.9,28,-45.07,25.3,-36.87,25.03
"2022-06-30 14:00:00",5,"Testbed Site 1",39.10236,-96.60097,335,-113.8,29.97,-44.83,25.37,-36.37,25
"2022-06-30 15:00:00",6,"Testbed Site 1",39.10236,-96.60097,335,-118.6,31.4,-44.7,25.6,-35.7,24.9
"2022-06-30 16:00:00",7,"Testbed Site 1",39.10236,-96.60097,335,-122.6,32.3,-44.53,25.9,-35.43,24.87
"2022-06-30 17:00:00",8,"Testbed Site 1",39.10236,-96.60097,335,-125,32.63,-44.3,26.3,-34.93,24.8
"2022-06-30 18:00:00",9,"Testbed Site 1",39.10236,-96.60097,335,-126.1,32.57,-44.13,26.7,-34.47,24.8
"2022-06-30 19:00:00",10,"Testbed Site 1",39.10236,-96.60097,335,-125.4,32.07,-43.9,27.1,-34.13,24.8
"2022-06-30 20:00:00",11,"Testbed Site 1",39.10236,-96.60097,335,-123.1,31.13,-43.63,27.4,-33.7,24.8
"2022-06-30 21:00:00",12,"Testbed Site 1",39.10236,-96.60097,335,-120.1,30.2,-43.43,27.57,-33.4,24.8
"2022-06-30 22:00:00",13,"Testbed Site 1",39.10236,-96.60097,335,-117,29.3,-43.33,27.7,-33.13,24.9
"2022-06-30 23:00:00",14,"Testbed Site 1",39.10236,-96.60097,335,-114.2,28.6,-43.33,27.7,-32.77,24.9
"2022-07-01 00:00:00",15,"Testbed Site 1",39.10236,-96.60097,335,-111.7,28,-43.27,27.67,-32.47,25
"2022-07-01 01:00:00",16,"Testbed Site 1",39.10236,-96.60097,335,-109.3,27.53,-43.37,27.57,-32.13,25
"2022-07-01 02:00:00",17,"Testbed Site 1",39.10236,-96.60097,335,-106.9,27.13,-43.43,27.43,-31.97,25.07
"2022-07-01 03:00:00",18,"Testbed Site 1",39.10236,-96.60097,335,-104.8,26.8,-43.33,27.27,-31.6,25.1
"2022-07-01 04:00:00",19,"Testbed Site 1",39.10236,-96.60097,335,-102.5,26.47,-43.23,27.13,-31.3,25.1
"2022-07-01 05:00:00",20,"Testbed Site 1",39.10236,-96.60097,335,-100.4,26.1,-43.2,26.97,-31.13,25.13
"2022-07-01 06:00:00",21,"Testbed Site 1",39.10236,-96.60097,335,-98.6,25.8,-43.07,26.83,-30.97,25.2
"2022-07-01 07:00:00",22,"Testbed Site 1",39.10236,-96.60097,335,-96.6,25.63,-43.07,26.67,-30.73,25.2
"2022-07-01 08:00:00",23,"Testbed Site 1",39.10236,-96.60097,335,-94.7,25.63,-43.03,26.53,-30.5,25.2
"2022-07-01 09:00:00",24,"Testbed Site 1",39.10236,-96.60097,335,-93.6,25.93,-43,26.37,-30.23,25.2
"2022-07-01 10:00:00",25,"Testbed Site 1",39.10236,-96.60097,335,-92.5,26.53,-42.9,26.27,-29.97,25.13
"2022-07-01 11:00:00",26,"Testbed Site 1",39.10236,-96.60097,335,-92.2,27,-42.87,26.2,-29.8,25.1
"2022-07-01 12:00:00",27,"Testbed Site 1",39.10236,-96.60097,335,-92.3,27.57,-42.73,26.2,-29.5,25.1
"2022-07-01 13:00:00",28,"Testbed Site 1",39.10236,-96.60097,335,-92.8,28.23,-42.77,26.2,-29.27,25.1
"2022-07-01 14:00:00",29,"Testbed Site 1",39.10236,-96.60097,335,-93.5,28.17,-42.6,26.27,-29.03,25.1
"2022-07-01 15:00:00",30,"Testbed Site 1",39.10236,-96.60097,335,-93.3,28.2,-42.53,26.33,-28.83,25.1
"2022-07-01 16:00:00",31,"Testbed Site 1",39.10236,-96.60097,335,-93.8,28.8,-42.53,26.43,-28.6,25
"2022-07-01 17:00:00",32,"Testbed Site 1",39.10236,-96.60097,335,-94.6,29.17,-42.4,26.53,-28.43,25
"2022-07-01 18:00:00",33,"Testbed Site 1",39.10236,-96.60097,335,-95,28.83,-42.33,26.63,-28.17,25
"2022-07-01 19:00:00",34,"Testbed Site 1",39.10236,-96.60097,335,-35.6,27.6,-42.2,26.73,-28,25
