"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_1.CR300","21589","Table_Thetaprobe"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Thetaprobe_VWC_5_Avg","Thetaprobe_VWC_20_Avg","Thetaprobe_VWC_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3 / m^3","m^3 / m^3","m^3 / m^3"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg"
"2022-06-30 09:00:00",0,"Testbed Site 1",39.10236,-96.60097,335,0.252,0.341,0.396
"2022-06-30 10:00:00",1,"Testbed Site 1",39.10236,-96.60097,335,0.253,0.341,0.397
"2022-06-30 11:00:00",2,"Testbed Site 1",39.10236,-96.60097,335,0.255,0.341,0.397
"2022-06-30 12:00:00",3,"Testbed Site 1",39.10236,-96.60097,335,0.256,0.34,0.397
"2022-06-30 13:00:00",4,"Testbed Site 1",39.10236,-96.60097,335,0.258,0.34,0.397
"2022-06-30 14:00:00",5,"Testbed Site 1",39.10236,-96.60097,335,0.259,0.341,0.397
"2022-06-30 15:00:00",6,"Testbed Site 1",39.10236,-96.60097,335,0.26,0.341,0.397
"2022-06-30 16:00:00",7,"Testbed Site 1",39.10236,-96.60097,335,0.261,0.341,0.397
"2022-06-30 17:00:00",8,"Testbed Site 1",39.10236,-96.60097,335,0.261,0.342,0.397
"2022-06-30 18:00:00",9,"Testbed Site 1",39.10236,-96.60097,335,0.261,0.342,0.397
"2022-06-30 19:00:00",10,"Testbed Site 1",39.10236,-96.60097,335,0.26,0.342,0.397
"2022-06-30 20:00:00",11,"Testbed Site 1",39.10236,-96.60097,335,0.259,0.343,0.397
"2022-06-30 21:00:00",12,"Testbed Site 1",39.10236,-96.60097,335,0.257,0.343,0.397
"2022-06-30 22:00:00",13,"Testbed Site 1",39.10236,-96.60097,335,0.256,0.343,0.397
"2022-06-30 23:00:00",14,"Testbed Site 1",39.10236,-96.60097,335,0.255,0.343,0.398
"2022-07-01 00:00:00",15,"Testbed Site 1",39.10236,-96.60097,335,0.254,0.343,0.398
"2022-07-01 01:00:00",16,"Testbed Site 1",39.10236,-96.60097,335,0.254,0.343,0.398
"2022-07-01 02:00:00",17,"Testbed Site 1",39.10236,-96.60097,335,0.253,0.343,0.398
