"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","14107","Table_Acclima"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Acclima_VWC_5_Avg","Acclima_Perm_5_Avg","Acclima_EC_5_Avg","Acclima_Temp_5_Avg","Acclima_VWC_20_Avg","Acclima_Perm_20_Avg","Acclima_EC_20_Avg","Acclima_Temp_20_Avg","Acclima_VWC_40_Avg","Acclima_Perm_40_Avg","Acclima_EC_40_Avg","Acclima_Temp_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-13 11:00:00",0,"Site 2",39.10245,-96.59987,335,27.87,15.2,162,12.13,28.53,15.67,247.3,16.37,32,18.03,452.3,18.4
"2022-10-13 12:00:00",1,"Site 2",39.10245,-96.59987,335,28,15.23,165.7,13.5,28.33,15.5,245.7,16.17,32.07,18.1,451,18.27
"2022-10-13 13:00:00",2,"Site 2",39.10245,-96.59987,335,28,15.23,171,15.03,28.33,15.5,244.7,16.07,32,18.03,449,18.2
"2022-10-13 14:00:00",3,"Site 2",39.10245,-96.59987,335,27.93,15.23,176.3,16.43,28.33,15.5,244,16.07,31.97,18.03,448,18.1
"2022-10-13 15:00:00",4,"Site 2",39.10245,-96.59987,335,27.87,15.17,180,17.37,28.37,15.5,245,16.1,32,18.03,447,18
"2022-10-13 16:00:00",5,"Site 2",39.10245,-96.59987,335,27.67,15.07,182,18,28.33,15.5,245.7,16.27,32.03,18.07,447,17.93
"2022-10-13 17:00:00",6,"Site 2",39.10245,-96.59987,335,27.47,14.93,184,18.43,28.33,15.47,246.7,16.43,32,18.03,446,17.83
"2022-10-13 18:00:00",7,"Site 2",39.10245,-96.59987,335,27.37,14.87,183.7,18.33,28.3,15.43,247.7,16.63,32.03,18.03,446,17.8
"2022-10-13 19:00:00",8,"Site 2",39.10245,-96.59987,335,27.3,14.8,181,17.7,28.3,15.47,249,16.83,32,18.07,446,17.77
"2022-10-13 20:00:00",9,"Site 2",39.10245,-96.59987,335,27.3,14.8,177.7,16.7,28.5,15.6,249.3,16.97,32.03,18.07,446,17.77
"2022-10-13 21:00:00",10,"Site 2",39.10245,-96.59987,335,27.3,14.8,173.7,15.63,28.73,15.77,249.3,17,32.03,18.1,445.7,17.7
"2022-10-13 22:00:00",11,"Site 2",39.10245,-96.59987,335,27.2,14.8,170,14.7,28.6,15.63,249.3,17,32.03,18.03,445.7,17.8
"2022-10-13 23:00:00",12,"Site 2",39.10245,-96.59987,335,27.2,14.77,167,13.87,28.53,15.63,249.3,16.97,31.93,18.03,445,17.73
"2022-10-14 00:00:00",13,"Site 2",39.10245,-96.59987,335,27.2,14.77,164,13.13,28.37,15.5,249,16.83,31.93,18.03,445,17.7
"2022-10-14 01:00:00",14,"Site 2",39.10245,-96.59987,335,27.2,14.77,161,12.5,28.73,15.73,247.3,16.67,31.93,18,445,17.73
"2022-10-14 02:00:00",15,"Site 2",39.10245,-96.59987,335,27.2,14.77,159,11.9,28.57,15.6,246,16.47,31.93,18,444.7,17.67
"2022-10-14 03:00:00",16,"Site 2",39.10245,-96.59987,335,27.2,14.7,156.3,11.37,28.73,15.77,245,16.23,32.13,18.13,444.7,17.7
"2022-10-14 04:00:00",17,"Site 2",39.10245,-96.59987,335,27.2,14.7,154.7,10.9,28.5,15.6,243.3,16.03,32.07,18.07,444,17.6
"2022-10-14 05:00:00",18,"Site 2",39.10245,-96.59987,335,27.2,14.7,152.7,10.47,28.67,15.73,241.7,15.8,32.1,18.1,444,17.57
"2022-10-14 06:00:00",19,"Site 2",39.10245,-96.59987,335,27.17,14.7,151.3,10.1,28.37,15.53,240,15.6,32.1,18.1,443,17.5
"2022-10-14 07:00:00",20,"Site 2",39.10245,-96.59987,335,27.2,14.7,149.7,9.8,28.63,15.67,238.7,15.33,32.03,18.03,442,17.5
"2022-10-14 08:00:00",21,"Site 2",39.10245,-96.59987,335,27.17,14.7,149,9.6,28.67,15.67,237,15.13,32,18.03,441.7,17.43
"2022-10-14 09:00:00",22,"Site 2",39.10245,-96.59987,335,27.17,14.7,149,9.6,28.37,15.53,236,14.93,31.9,18,441,17.3
"2022-10-14 10:00:00",23,"Site 2",39.10245,-96.59987,335,27.2,14.7,149.7,9.9,28.23,15.4,234,14.73,32,18.03,439,17.23
"2022-10-14 11:00:00",24,"Site 2",39.10245,-96.59987,335,27.2,14.7,152.7,10.83,28.17,15.4,233.3,14.57,31.93,18,438.3,17.1
"2022-10-14 12:00:00",25,"Site 2",39.10245,-96.59987,335,27.2,14.73,158,12.33,28.2,15.43,232,14.43,31.97,18.03,437.3,17.03
"2022-10-14 13:00:00",26,"Site 2",39.10245,-96.59987,335,27.2,14.77,164.7,14.17,28.27,15.47,232,14.4,31.87,18,436.3,16.97
"2022-10-14 14:00:00",27,"Site 2",39.10245,-96.59987,335,27.17,14.7,170.7,15.83,28.23,15.47,232,14.47,32.03,18.07,435.7,16.9
"2022-10-14 15:00:00",28,"Site 2",39.10245,-96.59987,335,27.13,14.7,175.3,17.1,28.3,15.43,233,14.6,32,18.03,435,16.77
"2022-10-14 16:00:00",29,"Site 2",39.10245,-96.59987,335,27.1,14.7,179.7,18.13,28.1,15.4,234.3,14.83,31.97,18.03,434.3,16.77
"2022-10-14 17:00:00",30,"Site 2",39.10245,-96.59987,335,26.93,14.6,180.3,18.33,28.17,15.4,236,15.1,31.93,18.03,433.3,16.67
"2022-10-14 18:00:00",31,"Site 2",39.10245,-96.59987,335,26.93,14.6,181,18.37,28.17,15.4,238,15.4,31.97,18.03,433,16.67
"2022-10-14 19:00:00",32,"Site 2",39.10245,-96.59987,335,26.87,14.57,180.3,18.07,28.23,15.4,239.7,15.7,31.97,18.03,433,16.63
"2022-10-14 20:00:00",33,"Site 2",39.10245,-96.59987,335,26.87,14.57,178.7,17.53,28.23,15.43,241,15.93,32,18,433,16.67
"2022-10-14 21:00:00",34,"Site 2",39.10245,-96.59987,335,26.83,14.53,176.3,16.9,28.17,15.4,242,16.13,31.93,18,433,16.63
"2022-10-14 22:00:00",35,"Site 2",39.10245,-96.59987,335,26.8,14.5,174,16.3,28.3,15.43,243,16.23,31.93,17.97,433,16.7
"2022-10-14 23:00:00",36,"Site 2",39.10245,-96.59987,335,26.8,14.5,171.3,15.63,28.47,15.53,243,16.3,31.93,17.97,433.7,16.7
"2022-10-15 00:00:00",37,"Site 2",39.10245,-96.59987,335,26.8,14.5,169,14.97,28.37,15.5,244,16.3,31.97,18,434,16.73
"2022-10-15 01:00:00",38,"Site 2",39.10245,-96.59987,335,26.8,14.5,166.7,14.37,28.53,15.57,243.3,16.2,32.03,18.07,434.3,16.77
"2022-10-15 02:00:00",39,"Site 2",39.10245,-96.59987,335,26.8,14.5,164.3,13.8,28.4,15.5,243,16.17,31.97,17.97,434.7,16.8
"2022-10-15 03:00:00",40,"Site 2",39.10245,-96.59987,335,26.8,14.5,162,13.17,28.5,15.6,242.3,16.07,31.9,18,435,16.8
"2022-10-15 04:00:00",41,"Site 2",39.10245,-96.59987,335,26.8,14.5,159.7,12.6,28.23,15.4,241.3,15.9,31.97,18.03,434.7,16.8
"2022-10-15 05:00:00",42,"Site 2",39.10245,-96.59987,335,26.8,14.5,157.3,12.07,28.47,15.57,240.3,15.83,31.97,18.07,435,16.8
"2022-10-15 06:00:00",43,"Site 2",39.10245,-96.59987,335,26.73,14.43,155.7,11.6,28.23,15.4,239.7,15.6,32,18.03,435,16.83
