"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","14107","Table_Thetaprobe"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Thetaprobe_VWC_5_Avg","Thetaprobe_VWC_20_Avg","Thetaprobe_VWC_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3 / m^3","m^3 / m^3","m^3 / m^3"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg"
"2022-10-13 11:00:00",0,"Site 2",39.10245,-96.59987,335,0.23,0.287,0.37
"2022-10-13 12:00:00",1,"Site 2",39.10245,-96.59987,335,0.231,0.286,0.37
"2022-10-13 13:00:00",2,"Site 2",39.10245,-96.59987,335,0.232,0.286,0.369
"2022-10-13 14:00:00",3,"Site 2",39.10245,-96.59987,335,0.234,0.286,0.369
"2022-10-13 15:00:00",4,"Site 2",39.10245,-96.59987,335,0.235,0.286,0.369
"2022-10-13 16:00:00",5,"Site 2",39.10245,-96.59987,335,0.236,0.286,0.369
"2022-10-13 17:00:00",6,"Site 2",39.10245,-96.59987,335,0.236,0.287,0.369
"2022-10-13 18:00:00",7,"Site 2",39.10245,-96.59987,335,0.236,0.287,0.369
"2022-10-13 19:00:00",8,"Site 2",39.10245,-96.59987,335,0.235,0.287,0.369
"2022-10-13 20:00:00",9,"Site 2",39.10245,-96.59987,335,0.235,0.287,0.369
"2022-10-13 21:00:00",10,"Site 2",39.10245,-96.59987,335,0.234,0.287,0.369
"2022-10-13 22:00:00",11,"Site 2",39.10245,-96.59987,335,0.233,0.287,0.369
"2022-10-13 23:00:00",12,"Site 2",39.10245,-96.59987,335,0.233,0.287,0.368
"2022-10-14 00:00:00",13,"Site 2",39.10245,-96.59987,335,0.232,0.287,0.368
"2022-10-14 01:00:00",14,"Site 2",39.10245,-96.59987,335,0.232,0.287,0.368
"2022-10-14 02:00:00",15,"Site 2",39.10245,-96.59987,335,0.232,0.287,0.368
"2022-10-14 03:00:00",16,"Site 2",39.10245,-96.59987,335,0.232,0.286,0.368
"2022-10-14 04:00:00",17,"Site 2",39.10245,-96.59987,335,0.231,0.286,0.368
"2022-10-14 05:00:00",18,"Site 2",39.10245,-96.59987,335,0.231,0.286,0.368
"2022-10-14 06:00:00",19,"Site 2",39.10245,-96.59987,335,0.231,0.285,0.368
