"TOA5","CR300-23667","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_3.CR300","28349","Table_CS655"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","CS655_VWC_5_Avg","CS655_EC_5_Avg","CS655_Temp_5_Avg","CS655_Perm_5_Avg","CS655_PA_5_Avg","CS655_VR_5_Avg","CS655_VWC_20_Avg","CS655_EC_20_Avg","CS655_Temp_20_Avg","CS655_Perm_20_Avg","CS655_PA_20_Avg","CS655_VR_20_Avg","CS655_VWC_40_Avg","CS655_EC_40_Avg","CS655_Temp_40_Avg","CS655_Perm_40_Avg","CS655_PA_40_Avg","CS655_VR_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3/m^3","dS/m","Deg c","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg c","unitless","nSec","unitless"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-06 09:00:00",0,"Site 1",39.10236,-96.60097,335,0.086,0.04,16.3,5.249,1.301,1.05,0.337,0.336,19.52,19.32,1.734,1.422,0.382,0.512,20.7,23.23,1.823,1.643
"2022-10-06 10:00:00",1,"Site 1",39.10236,-96.60097,335,0.087,0.041,17,5.3,1.303,1.051,0.337,0.334,19.35,19.3,1.733,1.42,0.382,0.512,20.65,23.23,1.823,1.642
"2022-10-06 11:00:00",2,"Site 1",39.10236,-96.60097,335,0.087,0.042,18.18,5.321,1.304,1.052,0.336,0.334,19.24,19.28,1.733,1.419,0.382,0.511,20.58,23.23,1.823,1.641
"2022-10-06 12:00:00",3,"Site 1",39.10236,-96.60097,335,0.089,0.043,20.07,5.367,1.307,1.054,0.336,0.333,19.18,19.28,1.733,1.418,0.382,0.51,20.52,23.2,1.822,1.64
"2022-10-06 13:00:00",4,"Site 1",39.10236,-96.60097,335,0.091,0.045,22.1,5.452,1.31,1.057,0.336,0.334,19.26,19.28,1.733,1.419,0.382,0.509,20.45,23.16,1.822,1.638
"2022-10-06 14:00:00",5,"Site 1",39.10236,-96.60097,335,0.091,0.047,23.96,5.479,1.312,1.059,0.336,0.336,19.51,19.29,1.733,1.421,0.382,0.508,20.4,23.19,1.822,1.637
"2022-10-06 15:00:00",6,"Site 1",39.10236,-96.60097,335,0.092,0.048,25.26,5.511,1.313,1.06,0.337,0.339,19.86,19.34,1.735,1.425,0.382,0.507,20.34,23.19,1.822,1.636
"2022-10-06 16:00:00",7,"Site 1",39.10236,-96.60097,335,0.092,0.049,25.77,5.507,1.313,1.061,0.338,0.342,20.3,19.38,1.736,1.43,0.381,0.507,20.31,23.13,1.821,1.636
"2022-10-06 17:00:00",8,"Site 1",39.10236,-96.60097,335,0.092,0.048,25.75,5.499,1.313,1.06,0.338,0.346,20.75,19.44,1.737,1.434,0.381,0.507,20.31,23.13,1.821,1.636
"2022-10-06 18:00:00",9,"Site 1",39.10236,-96.60097,335,0.091,0.047,25.2,5.475,1.312,1.059,0.339,0.349,21.11,19.48,1.738,1.438,0.381,0.507,20.31,23.13,1.821,1.636
"2022-10-06 19:00:00",10,"Site 1",39.10236,-96.60097,335,0.09,0.047,24.17,5.441,1.31,1.059,0.34,0.351,21.38,19.53,1.74,1.44,0.382,0.507,20.35,23.15,1.821,1.636
"2022-10-06 20:00:00",11,"Site 1",39.10236,-96.60097,335,0.089,0.046,23.11,5.399,1.308,1.057,0.34,0.352,21.54,19.54,1.74,1.442,0.382,0.508,20.39,23.19,1.822,1.637
"2022-10-06 21:00:00",12,"Site 1",39.10236,-96.60097,335,0.089,0.045,22.17,5.367,1.307,1.056,0.34,0.352,21.59,19.58,1.741,1.442,0.382,0.508,20.44,23.19,1.822,1.638
"2022-10-06 22:00:00",13,"Site 1",39.10236,-96.60097,335,0.088,0.044,21.33,5.345,1.306,1.055,0.34,0.352,21.56,19.54,1.74,1.441,0.382,0.509,20.49,23.18,1.822,1.639
"2022-10-06 23:00:00",14,"Site 1",39.10236,-96.60097,335,0.087,0.043,20.55,5.311,1.304,1.054,0.34,0.351,21.46,19.53,1.74,1.44,0.381,0.51,20.54,23.14,1.821,1.64
"2022-10-07 00:00:00",15,"Site 1",39.10236,-96.60097,335,0.087,0.042,19.84,5.288,1.303,1.053,0.339,0.35,21.32,19.51,1.739,1.439,0.382,0.51,20.61,23.17,1.822,1.64
"2022-10-07 01:00:00",16,"Site 1",39.10236,-96.60097,335,0.087,0.042,19.18,5.294,1.303,1.052,0.339,0.348,21.16,19.48,1.738,1.437,0.382,0.511,20.64,23.19,1.822,1.641
"2022-10-07 02:00:00",17,"Site 1",39.10236,-96.60097,335,0.086,0.041,18.53,5.25,1.301,1.051,0.339,0.346,20.95,19.46,1.738,1.435,0.382,0.511,20.67,23.23,1.823,1.642
"2022-10-07 03:00:00",18,"Site 1",39.10236,-96.60097,335,0.085,0.04,17.95,5.226,1.3,1.05,0.338,0.345,20.72,19.45,1.737,1.433,0.382,0.511,20.67,23.23,1.823,1.642
"2022-10-07 04:00:00",19,"Site 1",39.10236,-96.60097,335,0.085,0.04,17.4,5.229,1.3,1.05,0.338,0.342,20.51,19.4,1.736,1.43,0.382,0.512,20.68,23.23,1.823,1.642
"2022-10-07 05:00:00",20,"Site 1",39.10236,-96.60097,335,0.085,0.039,16.89,5.214,1.299,1.049,0.338,0.341,20.28,19.37,1.735,1.428,0.382,0.511,20.67,23.23,1.823,1.641
"2022-10-07 06:00:00",21,"Site 1",39.10236,-96.60097,335,0.084,0.039,16.42,5.181,1.298,1.048,0.337,0.334,20.03,19.35,1.734,1.419,0.382,0.511,20.65,23.23,1.823,1.641
"2022-10-07 07:00:00",22,"Site 1",39.10236,-96.60097,335,0.084,0.038,16.04,5.174,1.298,1.048,0.337,0.332,19.79,19.3,1.733,1.416,0.382,0.511,20.6,23.19,1.822,1.642
"2022-10-07 08:00:00",23,"Site 1",39.10236,-96.60097,335,0.084,0.038,15.81,5.175,1.298,1.048,0.336,0.33,19.55,19.27,1.732,1.414,0.382,0.51,20.56,23.18,1.822,1.64
"2022-10-07 09:00:00",24,"Site 1",39.10236,-96.60097,335,0.084,0.038,15.83,5.166,1.297,1.048,0.336,0.328,19.3,19.25,1.732,1.412,0.381,0.51,20.51,23.14,1.821,1.639
"2022-10-07 10:00:00",25,"Site 1",39.10236,-96.60097,335,0.084,0.038,16.13,5.173,1.298,1.048,0.335,0.326,19.11,19.2,1.73,1.409,0.382,0.508,20.45,23.18,1.822,1.638
