"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_1.CR300","32664","Table_Teros21"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Teros21_Matric_P_5_Avg","Teros21_Temp_5_Avg","Teros21_Matric_P_20_Avg","Teros21_Temp_20_Avg","Teros21_Matric_P_40_Avg","Teros21_Temp_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","kPa","Deg c","kPa","Deg c","kPa","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-06 09:00:00",0,"Site 1",39.10236,-96.60097,335,-884,16.9,-1516,19.9,-1678,20.8
"2022-10-06 10:00:00",1,"Site 1",39.10236,-96.60097,335,-866,17.45,-1524,19.8,-1703,20.8
"2022-10-06 11:00:00",2,"Site 1",39.10236,-96.60097,335,-877,18.8,-1513,19.67,-1684,20.77
"2022-10-06 12:00:00",3,"Site 1",39.10236,-96.60097,335,-941,20.7,-1528,19.6,-1711,20.7
"2022-10-06 13:00:00",4,"Site 1",39.10236,-96.60097,335,-1032,22.77,-1540,19.6,-1720,20.63
"2022-10-06 14:00:00",5,"Site 1",39.10236,-96.60097,335,-1151,24.77,-1534,19.73,-1713,20.6
"2022-10-06 15:00:00",6,"Site 1",39.10236,-96.60097,335,-1294,26.17,-1510,20,-1723,20.57
"2022-10-06 16:00:00",7,"Site 1",39.10236,-96.60097,335,-1315,26.77,-1511,20.33,-1748,20.5
"2022-10-06 17:00:00",8,"Site 1",39.10236,-96.60097,335,-1380,26.37,-1484,20.7,-1755,20.5
"2022-10-06 18:00:00",9,"Site 1",39.10236,-96.60097,335,-1489,25.3,-1456,21.1,-1769,20.5
"2022-10-06 19:00:00",10,"Site 1",39.10236,-96.60097,335,-1682,24.1,-1440,21.33,-1745,20.5
"2022-10-06 20:00:00",11,"Site 1",39.10236,-96.60097,335,-1829,22.93,-1425,21.5,-1730,20.53
"2022-10-06 21:00:00",12,"Site 1",39.10236,-96.60097,335,-1938,22,-1411,21.6,-1742,20.6
"2022-10-06 22:00:00",13,"Site 1",39.10236,-96.60097,335,-1958,21.17,-1415,21.6,-1743,20.6
"2022-10-06 23:00:00",14,"Site 1",39.10236,-96.60097,335,-1905,20.43,-1407,21.5,-1734,20.7
"2022-10-07 00:00:00",15,"Site 1",39.10236,-96.60097,335,-1885,19.8,-1420,21.4,-1742,20.7
"2022-10-07 01:00:00",16,"Site 1",39.10236,-96.60097,335,-1819,19.13,-1440,21.27,-1743,20.7
"2022-10-07 02:00:00",17,"Site 1",39.10236,-96.60097,335,-1714,18.53,-1451,21.1,-1737,20.8
"2022-10-07 03:00:00",18,"Site 1",39.10236,-96.60097,335,-1649,18,-1474,20.93,-1737,20.8
"2022-10-07 04:00:00",19,"Site 1",39.10236,-96.60097,335,-1547,17.5,-1490,20.73,-1731,20.8
"2022-10-07 05:00:00",20,"Site 1",39.10236,-96.60097,335,-1419,17.03,-1495,20.53,-1740,20.8
"2022-10-07 06:00:00",21,"Site 1",39.10236,-96.60097,335,-1304,16.6,-1530,20.33,-1714,20.8
"2022-10-07 07:00:00",22,"Site 1",39.10236,-96.60097,335,-1205,16.23,-1523,20.1,-1743,20.7
"2022-10-07 08:00:00",23,"Site 1",39.10236,-96.60097,335,-1117,16.1,-1546,19.9,-1734,20.7
"2022-10-07 09:00:00",24,"Site 1",39.10236,-96.60097,335,-1047,16.3,-1550,19.7,-1751,20.7
"2022-10-07 10:00:00",25,"Site 1",39.10236,-96.60097,335,-1009,16.7,-1566,19.53,-1743,20.6
"2022-10-07 11:00:00",26,"Site 1",39.10236,-96.60097,335,-1007,16.73,-1561,19.37,-1749,20.6
"2022-10-07 12:00:00",27,"Site 1",39.10236,-96.60097,335,-999,17.33,-1585,19.23,-1745,20.5
"2022-10-07 13:00:00",28,"Site 1",39.10236,-96.60097,335,-1041,18.07,-1583,19.13,-1750,20.5
"2022-10-07 14:00:00",29,"Site 1",39.10236,-96.60097,335,-1104,18.1,-1572,19.1,-1742,20.4
"2022-10-07 15:00:00",30,"Site 1",39.10236,-96.60097,335,-1130,17.93,-1581,19.1,-1744,20.37
"2022-10-07 16:00:00",31,"Site 1",39.10236,-96.60097,335,-1179,18.17,-1583,19.1,-1746,20.3
"2022-10-07 17:00:00",32,"Site 1",39.10236,-96.60097,335,-1226,18.1,-1567,19.07,-1750,20.27
"2022-10-07 18:00:00",33,"Site 1",39.10236,-96.60097,335,-1250,17.6,-1572,19,-1746,20.2
"2022-10-07 19:00:00",34,"Site 1",39.10236,-96.60097,335,-1267,16.9,-1578,19,-1759,20.2
"2022-10-07 20:00:00",35,"Site 1",39.10236,-96.60097,335,-1258,16,-1579,19,-1776,20.1
"2022-10-07 21:00:00",36,"Site 1",39.10236,-96.60097,335,-1212,15.3,-1597,18.9,-1750,20.1
"2022-10-07 22:00:00",37,"Site 1",39.10236,-96.60097,335,-1177,14.87,-1610,18.77,-1773,20.07
"2022-10-07 23:00:00",38,"Site 1",39.10236,-96.60097,335,-1109,14.53,-1610,18.63,-1756,20
