"TOA5","CR300Series_NRCS_A3","CR300","20805","CR300-CELL205.Std.10.07","CPU:nrcs_marena_A3.CR300","31781","Table_Batt"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Batt_Min","PTemp"
"TS","RN","name","decdegrees","decdegrees","m","Volt","Deg C"
"","","Smp","Smp","Smp","Smp","Min","Smp"
"2022-12-12 12:00:00",71,"Site 1",36.06351,-97.21697,330,12.42,25.08
"2022-12-12 13:00:00",72,"Site 1",36.06351,-97.21697,330,12.43,25.25
"2022-12-12 14:00:00",73,"Site 1",36.06351,-97.21697,330,12.43,25.19
"2022-12-12 15:00:00",74,"Site 1",36.06351,-97.21697,330,12.43,25.08
"2022-12-12 16:00:00",75,"Site 1",36.06351,-97.21697,330,12.43,25.1
"2022-12-12 17:00:00",76,"Site 1",36.06351,-97.21697,330,12.43,25.09
"2022-12-12 18:00:00",77,"Site 1",36.06351,-97.21697,330,12.43,24.88
"2022-12-12 19:00:00",78,"Site 1",36.06351,-97.21697,330,12.43,24.82
"2022-12-12 20:00:00",79,"Site 1",36.06351,-97.21697,330,12.43,23
"2022-12-12 21:00:00",80,"Site 1",36.06351,-97.21697,330,12.47,22.7
"2022-12-12 22:00:00",81,"Site 1",36.06351,-97.21697,330,12.47,22.66
"2022-12-12 23:00:00",82,"Site 1",36.06351,-97.21697,330,12.47,22.64
"2022-12-13 00:00:00",83,"Site 1",36.06351,-97.21697,330,12.47,22.63
"2022-12-13 01:00:00",84,"Site 1",36.06351,-97.21697,330,12.47,22.64
"2022-12-13 02:00:00",85,"Site 1",36.06351,-97.21697,330,12.47,22.64
"2022-12-13 03:00:00",86,"Site 1",36.06351,-97.21697,330,12.47,22.63
"2022-12-13 04:00:00",87,"Site 1",36.06351,-97.21697,330,12.47,22.65
"2022-12-13 05:00:00",88,"Site 1",36.06351,-97.21697,330,12.47,22.65
"2022-12-13 06:00:00",89,"Site 1",36.06351,-97.21697,330,12.47,22.63
"2022-12-13 07:00:00",90,"Site 1",36.06351,-97.21697,330,12.47,22.65
"2022-12-13 08:00:00",91,"Site 1",36.06351,-97.21697,330,12.47,22.69
"2022-12-13 09:00:00",92,"Site 1",36.06351,-97.21697,330,12.46,22.83
"2022-12-13 10:00:00",93,"Site 1",36.06351,-97.21697,330,12.42,24.93
"2022-12-13 11:00:00",94,"Site 1",36.06351,-97.21697,330,12.41,25
"2022-12-13 12:00:00",95,"Site 1",36.06351,-97.21697,330,12.41,24.91
"2022-12-13 13:00:00",96,"Site 1",36.06351,-97.21697,330,12.41,25.11
"2022-12-13 14:00:00",97,"Site 1",36.06351,-97.21697,330,12.41,24.86
"2022-12-13 15:00:00",98,"Site 1",36.06351,-97.21697,330,12.41,24.82
"2022-12-13 16:00:00",99,"Site 1",36.06351,-97.21697,330,12.4,24.81
"2022-12-13 17:00:00",100,"Site 1",36.06351,-97.21697,330,12.41,24.78
"2022-12-15 15:00:00",101,"Site 1",36.06351,-97.21697,330,12.34,11.06
"2022-12-15 16:00:00",102,"Site 1",36.06351,-97.21697,330,13.31,10.8
"2022-12-15 17:00:00",103,"Site 1",36.06351,-97.21697,330,12.96,7.736
"2022-12-15 18:00:00",104,"Site 1",36.06351,-97.21697,330,12.66,2.011
"2022-12-15 19:00:00",105,"Site 1",36.06351,-97.21697,330,12.59,-0.919
"2022-12-15 20:00:00",106,"Site 1",36.06351,-97.21697,330,12.58,-2.727
"2022-12-15 21:00:00",107,"Site 1",36.06351,-97.21697,330,12.62,-2.417
"2022-12-15 22:00:00",108,"Site 1",36.06351,-97.21697,330,12.61,-2.075
"2022-12-15 23:00:00",109,"Site 1",36.06351,-97.21697,330,12.6,-3.003
"2022-12-16 00:00:00",110,"Site 1",36.06351,-97.21697,330,12.59,-0.833
"2022-12-16 01:00:00",111,"Site 1",36.06351,-97.21697,330,12.59,-1.792
"2022-12-16 02:00:00",112,"Site 1",36.06351,-97.21697,330,12.58,-2.002
"2022-12-16 03:00:00",113,"Site 1",36.06351,-97.21697,330,12.57,-3.162
"2022-12-16 04:00:00",114,"Site 1",36.06351,-97.21697,330,12.57,-2.467
"2022-12-16 05:00:00",115,"Site 1",36.06351,-97.21697,330,12.56,-2.285
"2022-12-16 06:00:00",116,"Site 1",36.06351,-97.21697,330,12.55,-1.932
"2022-12-16 07:00:00",117,"Site 1",36.06351,-97.21697,330,12.55,-1.802
"2022-12-16 08:00:00",118,"Site 1",36.06351,-97.21697,330,12.54,-1.508
"2022-12-16 09:00:00",119,"Site 1",36.06351,-97.21697,330,12.63,0.418
"2022-12-16 10:00:00",120,"Site 1",36.06351,-97.21697,330,14.02,7.721
"2022-12-16 11:00:00",121,"Site 1",36.06351,-97.21697,330,13.99,9.91
"2022-12-16 12:00:00",122,"Site 1",36.06351,-97.21697,330,13.95,11.85
"2022-12-16 13:00:00",123,"Site 1",36.06351,-97.21697,330,13.91,13.01
"2022-12-16 14:00:00",124,"Site 1",36.06351,-97.21697,330,13.89,13.62
"2022-12-16 15:00:00",125,"Site 1",36.06351,-97.21697,330,13.76,11.36
"2022-12-16 16:00:00",126,"Site 1",36.06351,-97.21697,330,13.45,9.35
"2022-12-16 17:00:00",127,"Site 1",36.06351,-97.21697,330,12.82,5.668
"2022-12-16 18:00:00",128,"Site 1",36.06351,-97.21697,330,12.74,2.61
"2022-12-16 19:00:00",129,"Site 1",36.06351,-97.21697,330,12.7,0.803
"2022-12-16 20:00:00",130,"Site 1",36.06351,-97.21697,330,12.69,-3.815
"2022-12-16 21:00:00",131,"Site 1",36.06351,-97.21697,330,12.76,-3.881
"2022-12-16 22:00:00",132,"Site 1",36.06351,-97.21697,330,12.76,-4.637
"2022-12-16 23:00:00",133,"Site 1",36.06351,-97.21697,330,12.75,-4.802
"2022-12-17 00:00:00",134,"Site 1",36.06351,-97.21697,330,12.74,-4.968
"2022-12-17 01:00:00",135,"Site 1",36.06351,-97.21697,330,12.74,-5.113
"2022-12-17 02:00:00",136,"Site 1",36.06351,-97.21697,330,12.73,-5.577
"2022-12-17 03:00:00",137,"Site 1",36.06351,-97.21697,330,12.73,-6.374
"2022-12-17 04:00:00",138,"Site 1",36.06351,-97.21697,330,12.72,-6.473
"2022-12-17 05:00:00",139,"Site 1",36.06351,-97.21697,330,12.71,-6.728
"2022-12-17 06:00:00",140,"Site 1",36.06351,-97.21697,330,12.71,-6.579
"2022-12-17 07:00:00",141,"Site 1",36.06351,-97.21697,330,12.71,-6.94
"2022-12-17 08:00:00",142,"Site 1",36.06351,-97.21697,330,12.71,-5.87
"2022-12-17 09:00:00",143,"Site 1",36.06351,-97.21697,330,14.15,0.013
"2022-12-17 10:00:00",144,"Site 1",36.06351,-97.21697,330,14.07,6.329
"2022-12-17 11:00:00",145,"Site 1",36.06351,-97.21697,330,13.99,9.69
"2022-12-17 12:00:00",146,"Site 1",36.06351,-97.21697,330,13.92,12.07
"2022-12-17 13:00:00",147,"Site 1",36.06351,-97.21697,330,13.89,13.55
"2022-12-17 14:00:00",148,"Site 1",36.06351,-97.21697,330,13.88,14.75
"2022-12-17 15:00:00",149,"Site 1",36.06351,-97.21697,330,13.85,15.01
