"TOA5","CR300Series_NRCS_D3","CR300","25036","CR300-CELL205.Std.10.07","CPU:nrcs_marena_D3.CR300","2190","Table_Batt"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Batt_Min","PTemp"
"TS","RN","name","decdegrees","decdegrees","m","Volt","Deg C"
"","","Smp","Smp","Smp","Smp","Min","Smp"
"2022-12-09 17:00:00",4,"Marena D3",36.06525,-97.21513,332,12.06,23.62
"2022-12-09 18:00:00",5,"Marena D3",36.06525,-97.21513,332,12.11,23
"2022-12-09 19:00:00",6,"Marena D3",36.06525,-97.21513,332,12.11,23.03
"2022-12-09 20:00:00",7,"Marena D3",36.06525,-97.21513,332,12.11,22.99
"2022-12-09 21:00:00",8,"Marena D3",36.06525,-97.21513,332,12.11,22.89
"2022-12-09 22:00:00",9,"Marena D3",36.06525,-97.21513,332,12.11,22.95
"2022-12-09 23:00:00",10,"Marena D3",36.06525,-97.21513,332,12.11,22.98
"2022-12-10 00:00:00",11,"Marena D3",36.06525,-97.21513,332,12.11,22.92
"2022-12-10 01:00:00",12,"Marena D3",36.06525,-97.21513,332,12.11,22.91
"2022-12-10 02:00:00",13,"Marena D3",36.06525,-97.21513,332,12.11,22.94
"2022-12-10 03:00:00",14,"Marena D3",36.06525,-97.21513,332,12.11,22.88
"2022-12-10 04:00:00",15,"Marena D3",36.06525,-97.21513,332,12.1,22.85
"2022-12-10 05:00:00",16,"Marena D3",36.06525,-97.21513,332,12.1,22.96
"2022-12-10 06:00:00",17,"Marena D3",36.06525,-97.21513,332,12.1,22.93
"2022-12-10 07:00:00",18,"Marena D3",36.06525,-97.21513,332,12.1,22.91
"2022-12-10 08:00:00",19,"Marena D3",36.06525,-97.21513,332,12.11,23.02
"2022-12-10 09:00:00",20,"Marena D3",36.06525,-97.21513,332,12.1,22.98
"2022-12-10 10:00:00",21,"Marena D3",36.06525,-97.21513,332,12.1,22.94
"2022-12-10 11:00:00",22,"Marena D3",36.06525,-97.21513,332,12.1,22.94
"2022-12-10 12:00:00",23,"Marena D3",36.06525,-97.21513,332,12.1,22.89
"2022-12-10 13:00:00",24,"Marena D3",36.06525,-97.21513,332,12.08,22.72
"2022-12-10 14:00:00",25,"Marena D3",36.06525,-97.21513,332,12.05,24.77
"2022-12-10 15:00:00",26,"Marena D3",36.06525,-97.21513,332,12.04,24.8
"2022-12-10 16:00:00",27,"Marena D3",36.06525,-97.21513,332,12.1,22.97
"2022-12-10 17:00:00",28,"Marena D3",36.06525,-97.21513,332,12.1,22.91
"2022-12-10 18:00:00",29,"Marena D3",36.06525,-97.21513,332,12.1,22.94
"2022-12-10 19:00:00",30,"Marena D3",36.06525,-97.21513,332,12.1,22.95
"2022-12-10 20:00:00",31,"Marena D3",36.06525,-97.21513,332,12.1,22.87
"2022-12-10 21:00:00",32,"Marena D3",36.06525,-97.21513,332,12.1,23.04
"2022-12-10 22:00:00",33,"Marena D3",36.06525,-97.21513,332,12.1,22.98
"2022-12-10 23:00:00",34,"Marena D3",36.06525,-97.21513,332,12.1,22.94
"2022-12-11 00:00:00",35,"Marena D3",36.06525,-97.21513,332,12.1,22.96
"2022-12-11 01:00:00",36,"Marena D3",36.06525,-97.21513,332,12.1,23.08
"2022-12-11 02:00:00",37,"Marena D3",36.06525,-97.21513,332,12.1,22.88
"2022-12-11 03:00:00",38,"Marena D3",36.06525,-97.21513,332,12.1,23.09
"2022-12-11 04:00:00",39,"Marena D3",36.06525,-97.21513,332,12.1,22.81
"2022-12-11 05:00:00",40,"Marena D3",36.06525,-97.21513,332,12.1,22.88
"2022-12-11 06:00:00",41,"Marena D3",36.06525,-97.21513,332,12.09,22.99
"2022-12-11 07:00:00",42,"Marena D3",36.06525,-97.21513,332,12.09,22.95
"2022-12-11 08:00:00",43,"Marena D3",36.06525,-97.21513,332,12.09,23
"2022-12-11 09:00:00",44,"Marena D3",36.06525,-97.21513,332,12.1,22.95
"2022-12-11 10:00:00",45,"Marena D3",36.06525,-97.21513,332,12.09,22.95
"2022-12-11 11:00:00",46,"Marena D3",36.06525,-97.21513,332,12.1,22.95
"2022-12-11 12:00:00",47,"Marena D3",36.06525,-97.21513,332,12.09,23.02
"2022-12-11 13:00:00",48,"Marena D3",36.06525,-97.21513,332,12.07,22.98
"2022-12-11 14:00:00",49,"Marena D3",36.06525,-97.21513,332,12.03,25.21
"2022-12-11 15:00:00",50,"Marena D3",36.06525,-97.21513,332,12.04,25.07
"2022-12-11 16:00:00",51,"Marena D3",36.06525,-97.21513,332,12.09,23.15
"2022-12-11 17:00:00",52,"Marena D3",36.06525,-97.21513,332,12.09,23.04
"2022-12-11 18:00:00",53,"Marena D3",36.06525,-97.21513,332,12.09,22.95
"2022-12-11 19:00:00",54,"Marena D3",36.06525,-97.21513,332,12.09,22.97
"2022-12-11 20:00:00",55,"Marena D3",36.06525,-97.21513,332,12.09,22.94
"2022-12-11 21:00:00",56,"Marena D3",36.06525,-97.21513,332,12.09,22.9
"2022-12-11 22:00:00",57,"Marena D3",36.06525,-97.21513,332,12.09,22.96
"2022-12-11 23:00:00",58,"Marena D3",36.06525,-97.21513,332,12.09,22.9
"2022-12-12 00:00:00",59,"Marena D3",36.06525,-97.21513,332,12.09,22.95
"2022-12-12 01:00:00",60,"Marena D3",36.06525,-97.21513,332,12.09,22.86
"2022-12-12 02:00:00",61,"Marena D3",36.06525,-97.21513,332,12.09,22.95
"2022-12-12 03:00:00",62,"Marena D3",36.06525,-97.21513,332,12.09,22.89
"2022-12-12 04:00:00",63,"Marena D3",36.06525,-97.21513,332,12.09,22.96
"2022-12-12 05:00:00",64,"Marena D3",36.06525,-97.21513,332,12.09,22.99
"2022-12-12 06:00:00",65,"Marena D3",36.06525,-97.21513,332,12.09,22.91
"2022-12-12 07:00:00",66,"Marena D3",36.06525,-97.21513,332,12.09,22.94
"2022-12-12 08:00:00",67,"Marena D3",36.06525,-97.21513,332,12.09,22.98
"2022-12-12 09:00:00",68,"Marena D3",36.06525,-97.21513,332,12.08,23.55
"2022-12-12 10:00:00",69,"Marena D3",36.06525,-97.21513,332,12,24.85
"2022-12-12 11:00:00",70,"Marena D3",36.06525,-97.21513,332,12.03,25.31
"2022-12-12 12:00:00",71,"Marena D3",36.06525,-97.21513,332,12.02,26.26
"2022-12-12 13:00:00",72,"Marena D3",36.06525,-97.21513,332,12.02,25.27
"2022-12-12 14:00:00",73,"Marena D3",36.06525,-97.21513,332,12.03,25.13
"2022-12-12 15:00:00",74,"Marena D3",36.06525,-97.21513,332,12.03,25.2
"2022-12-12 16:00:00",75,"Marena D3",36.06525,-97.21513,332,12.03,25.12
"2022-12-12 17:00:00",76,"Marena D3",36.06525,-97.21513,332,12.03,25.12
"2022-12-12 18:00:00",77,"Marena D3",36.06525,-97.21513,332,12.03,23.19
"2022-12-12 19:00:00",78,"Marena D3",36.06525,-97.21513,332,12.08,22.77
"2022-12-12 20:00:00",79,"Marena D3",36.06525,-97.21513,332,12.08,22.91
"2022-12-12 21:00:00",80,"Marena D3",36.06525,-97.21513,332,12.08,22.77
"2022-12-12 22:00:00",81,"Marena D3",36.06525,-97.21513,332,12.08,22.93
