"TOA5","2","CR300","7174","CR300.Std.07.00","CPU:Site 2 (Field).CR300","59471","CS655"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","BattV","CS655_5_VWC_Avg","CS655_10_VWC_Avg","CS655_20_VWC_Avg","CS655_50_VWC_Avg","CS655_5_T_Avg","CS655_10_T_Avg","CS655_20_T_Avg","CS655_50_T_Avg","CS655_5_EC_Avg","CS655_10_EC_Avg","CS655_20_EC_Avg","CS655_50_EC_Avg","CS655_5_Perm_Avg","CS655_10_Perm_Avg","CS655_20_Perm_Avg","CS655_50_Perm_Avg","CS655_5_PA_Avg","CS655_10_PA_Avg","CS655_20_PA_Avg","CS655_50_PA_Avg","CS655_5_VR_Avg","CS655_10_VR_Avg","CS655_20_VR_Avg","CS655_50_VR_Avg"
"TS","RN","name","decdegrees","decdegrees","m","Volts","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","Deg C","Deg C","Deg C","Deg C","dS/m","dS/m","dS/m","dS/m","unitless","unitless","unitless","unitless","nSec","nSec","nSec","nSec","unitless","unitless","unitless","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
2023-03-24 15:00:00,0,Site 2,30.5498,-96.4115,75,13.32,0.3,0.31,0.379,0.456,23.89,22.39,21.14,19.16,0.298,0.361,0.613,0.998,16.62,17.28,22.93,31.54,1.68,1.697,1.837,2.016,1.368,1.444,1.75,2.244
2023-03-24 16:00:00,1,Site 2,30.5498,-96.4115,75,13.47,0.301,0.311,0.38,0.455,24.96,23.02,21.29,19.17,0.304,0.366,0.616,0.998,16.69,17.36,22.96,31.49,1.682,1.699,1.837,2.016,1.376,1.451,1.753,2.243
2023-03-24 17:00:00,2,Site 2,30.5498,-96.4115,75,13.45,0.302,0.311,0.38,0.456,26.4,24.08,21.62,19.2,0.314,0.376,0.621,0.998,16.75,17.42,23,31.54,1.684,1.701,1.839,2.016,1.387,1.462,1.76,2.243
2023-03-24 18:00:00,3,Site 2,30.5498,-96.4115,75,13.45,0.302,0.312,0.38,0.456,26.69,24.9,22.05,19.22,0.313,0.381,0.628,0.999,16.73,17.44,23.01,31.53,1.684,1.702,1.84,2.016,1.387,1.469,1.768,2.244
2023-03-24 19:00:00,4,Site 2,30.5498,-96.4115,75,13.45,0.3,0.312,0.381,0.456,25.93,25.05,22.46,19.26,0.304,0.377,0.634,1,16.64,17.44,23.11,31.52,1.681,1.702,1.842,2.016,1.376,1.465,1.776,2.246
2023-03-24 20:00:00,5,Site 2,30.5498,-96.4115,75,12.76,0.298,0.311,0.382,0.456,24.75,24.69,22.71,19.28,0.3,0.373,0.637,1.001,16.48,17.36,23.16,31.52,1.677,1.7,1.844,2.016,1.371,1.459,1.779,2.247
2023-03-24 21:00:00,6,Site 2,30.5498,-96.4115,75,12.68,0.296,0.31,0.381,0.456,23.49,24.01,22.77,19.34,0.292,0.366,0.637,0.998,16.35,17.29,23.14,31.57,1.673,1.697,1.843,2.017,1.361,1.451,1.779,2.243
2023-03-24 22:00:00,7,Site 2,30.5498,-96.4115,75,12.61,0.295,0.308,0.381,0.456,22.41,23.23,22.65,19.39,0.285,0.36,0.634,1.005,16.25,17.2,23.09,31.57,1.67,1.695,1.842,2.018,1.352,1.443,1.776,2.252
2023-03-24 23:00:00,8,Site 2,30.5498,-96.4115,75,12.54,0.294,0.307,0.38,0.456,21.51,22.52,22.44,19.44,0.277,0.357,0.63,1.007,16.17,17.12,23,31.55,1.667,1.692,1.84,2.018,1.342,1.439,1.77,2.254
2023-03-25 00:00:00,9,Site 2,30.5498,-96.4115,75,12.47,0.292,0.306,0.38,0.456,20.73,21.86,22.15,19.52,0.273,0.352,0.625,1.008,16.07,17.04,23,31.59,1.665,1.69,1.839,2.018,1.337,1.433,1.765,2.256
2023-03-25 01:00:00,10,Site 2,30.5498,-96.4115,75,12.43,0.291,0.305,0.379,0.456,20.04,21.25,21.85,19.57,0.269,0.346,0.62,1.009,15.98,16.96,22.93,31.61,1.662,1.688,1.837,2.019,1.332,1.426,1.758,2.257
2023-03-25 02:00:00,11,Site 2,30.5498,-96.4115,75,12.41,0.29,0.304,0.378,0.456,19.42,20.72,21.53,19.62,0.265,0.341,0.615,1.012,15.92,16.9,22.86,31.62,1.66,1.686,1.836,2.019,1.327,1.42,1.752,2.261
2023-03-25 03:00:00,12,Site 2,30.5498,-96.4115,75,12.39,0.289,0.303,0.378,0.457,18.83,20.17,21.21,19.65,0.26,0.337,0.61,1.013,15.84,16.82,22.79,31.67,1.658,1.684,1.834,2.02,1.321,1.414,1.746,2.262
2023-03-25 04:00:00,13,Site 2,30.5498,-96.4115,75,12.36,0.288,0.302,0.377,0.457,18.29,19.67,20.89,19.71,0.256,0.332,0.605,1.014,15.78,16.78,22.72,31.66,1.656,1.682,1.832,2.02,1.316,1.409,1.739,2.263
2023-03-25 05:00:00,14,Site 2,30.5498,-96.4115,75,12.34,0.286,0.301,0.376,0.457,17.76,19.18,20.56,19.73,0.253,0.328,0.6,1.014,15.7,16.71,22.66,31.65,1.654,1.68,1.83,2.02,1.312,1.404,1.733,2.264
2023-03-25 06:00:00,15,Site 2,30.5498,-96.4115,75,12.32,0.285,0.301,0.376,0.457,17.29,18.72,20.24,19.74,0.25,0.324,0.594,1.015,15.63,16.66,22.59,31.65,1.652,1.679,1.828,2.02,1.308,1.399,1.726,2.265
2023-03-25 07:00:00,16,Site 2,30.5498,-96.4115,75,12.29,0.284,0.3,0.375,0.457,16.82,18.32,19.93,19.75,0.246,0.321,0.589,1.015,15.57,16.6,22.54,31.65,1.65,1.677,1.827,2.02,1.304,1.394,1.72,2.264
2023-03-25 08:00:00,17,Site 2,30.5498,-96.4115,75,12.31,0.284,0.299,0.374,0.457,16.34,17.89,19.61,19.74,0.243,0.317,0.585,1.015,15.52,16.55,22.47,31.65,1.648,1.675,1.825,2.02,1.3,1.389,1.714,2.265
2023-03-25 09:00:00,18,Site 2,30.5498,-96.4115,75,12.42,0.283,0.298,0.373,0.457,16.1,17.5,19.33,19.72,0.242,0.314,0.579,1.014,15.46,16.5,22.4,31.66,1.647,1.674,1.823,2.02,1.298,1.386,1.708,2.263
2023-03-25 10:00:00,19,Site 2,30.5498,-96.4115,75,12.55,0.284,0.298,0.373,0.457,16.91,17.42,19.03,19.69,0.247,0.314,0.575,1.012,15.52,16.5,22.34,31.67,1.649,1.674,1.822,2.02,1.305,1.386,1.703,2.261
2023-03-25 11:00:00,20,Site 2,30.5498,-96.4115,75,12.66,0.285,0.299,0.372,0.456,18.27,17.86,18.87,19.67,0.255,0.319,0.573,1.014,15.58,16.54,22.31,31.63,1.651,1.675,1.821,2.019,1.314,1.392,1.7,2.263
2023-03-25 12:00:00,21,Site 2,30.5498,-96.4115,75,12.88,0.285,0.3,0.372,0.456,19.23,18.5,18.89,19.63,0.259,0.323,0.574,1.011,15.6,16.59,22.31,31.6,1.652,1.677,1.821,2.019,1.319,1.398,1.701,2.259
2023-03-25 13:00:00,22,Site 2,30.5498,-96.4115,75,13.39,0.286,0.3,0.372,0.456,20.09,19.29,19.04,19.59,0.266,0.33,0.577,1.01,15.67,16.64,22.31,31.61,1.654,1.679,1.821,2.019,1.329,1.406,1.704,2.258
2023-03-25 14:00:00,23,Site 2,30.5498,-96.4115,75,13.48,0.289,0.302,0.373,0.456,22.31,20.53,19.33,19.54,0.283,0.342,0.581,1.008,15.84,16.73,22.35,31.54,1.66,1.682,1.822,2.018,1.349,1.421,1.71,2.256
2023-03-25 15:00:00,24,Site 2,30.5498,-96.4115,75,13.49,0.29,0.303,0.374,0.456,24.78,22.13,19.81,19.49,0.295,0.355,0.589,1.008,15.95,16.85,22.42,31.55,1.664,1.686,1.825,2.018,1.364,1.437,1.719,2.255
2023-03-25 16:00:00,25,Site 2,30.5498,-96.4115,75,13.5,0.292,0.305,0.375,0.456,26.45,23.6,20.44,19.46,0.302,0.367,0.599,1.006,16.05,16.95,22.53,31.56,1.667,1.69,1.828,2.018,1.373,1.451,1.732,2.253
