TIMESTAMP,RECORD,station,latitude,longitude,altitude,BattV,ThetaProbe_5_VWC_Avg,ThetaProbe_10_VWC_Avg,ThetaProbe_20_VWC_Avg,ThetaProbe_50_VWC_Avg,ThetaProbe_5_Volt_dif_Avg,ThetaProbe_10_Volt_dif_Avg,ThetaProbe_20_Volt_dif_Avg,ThetaProbe_50_Volt_dif_Avg
2023-04-18 13:00:00,0,Site 3,30.55886,-96.41177,75,13.54,0.203,0.21,0.28,0.39,0.52,0.534,0.659,0.825
2023-04-18 14:00:00,1,Site 3,30.55886,-96.41177,75,13.55,0.202,0.209,0.279,0.388,0.519,0.533,0.657,0.823
2023-04-18 15:00:00,2,Site 3,30.55886,-96.41177,75,13.51,0.202,0.209,0.277,0.387,0.518,0.532,0.655,0.821
2023-04-18 16:00:00,3,Site 3,30.55886,-96.41177,75,13.51,0.201,0.208,0.276,0.386,0.516,0.53,0.653,0.82
2023-04-18 17:00:00,4,Site 3,30.55886,-96.41177,75,13.48,0.2,0.207,0.276,0.386,0.514,0.528,0.652,0.819
2023-04-18 18:00:00,5,Site 3,30.55886,-96.41177,75,13.49,0.199,0.206,0.275,0.385,0.512,0.526,0.651,0.819
2023-04-18 19:00:00,6,Site 3,30.55886,-96.41177,75,12.93,0.198,0.205,0.273,0.383,0.51,0.524,0.647,0.816
2023-04-18 20:00:00,7,Site 3,30.55886,-96.41177,75,12.75,0.197,0.204,0.271,0.381,0.508,0.523,0.644,0.813
2023-04-18 21:00:00,8,Site 3,30.55886,-96.41177,75,12.69,0.197,0.203,0.27,0.379,0.508,0.521,0.642,0.811
2023-04-18 22:00:00,9,Site 3,30.55886,-96.41177,75,12.64,0.196,0.203,0.269,0.38,0.507,0.52,0.641,0.811
2023-04-18 23:00:00,10,Site 3,30.55886,-96.41177,75,12.59,0.196,0.202,0.269,0.38,0.507,0.519,0.641,0.811
2023-04-19 00:00:00,11,Site 3,30.55886,-96.41177,75,12.54,0.196,0.202,0.269,0.38,0.506,0.518,0.64,0.811
2023-04-19 01:00:00,12,Site 3,30.55886,-96.41177,75,12.49,0.196,0.202,0.269,0.38,0.506,0.518,0.64,0.811
2023-04-19 02:00:00,13,Site 3,30.55886,-96.41177,75,12.46,0.196,0.201,0.268,0.38,0.506,0.517,0.64,0.811
2023-04-19 03:00:00,14,Site 3,30.55886,-96.41177,75,12.44,0.196,0.201,0.268,0.38,0.505,0.516,0.639,0.811
2023-04-19 04:00:00,15,Site 3,30.55886,-96.41177,75,12.42,0.196,0.201,0.268,0.38,0.505,0.516,0.639,0.811
2023-04-19 05:00:00,16,Site 3,30.55886,-96.41177,75,12.4,0.196,0.201,0.268,0.38,0.505,0.515,0.639,0.811
2023-04-19 06:00:00,17,Site 3,30.55886,-96.41177,75,12.39,0.196,0.2,0.268,0.38,0.505,0.515,0.638,0.811
2023-04-19 07:00:00,18,Site 3,30.55886,-96.41177,75,12.37,0.196,0.2,0.267,0.38,0.505,0.515,0.638,0.811
2023-04-19 08:00:00,19,Site 3,30.55886,-96.41177,75,12.39,0.196,0.2,0.268,0.38,0.505,0.514,0.638,0.812
