"TOA5","1","CR300","7174","CR300.Std.07.00","CPU:Site 2 (Field).CR300","63613","Batt"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","BattV_Min","BattV","PTemp_C"
"TS","RN","name","decdegrees","decdegrees","m","Volts","Volts","Deg C"
"","","Smp","Smp","Smp","Smp","Min","Smp","Smp"
"2023-03-24 15:00:00",0,"Site 2",30.5498,-96.4115,75,13.32,13.32,31.62
"2023-03-24 16:00:00",1,"Site 2",30.5498,-96.4115,75,13.47,13.47,32.53
"2023-03-24 17:00:00",2,"Site 2",30.5498,-96.4115,75,13.45,13.45,33.59
"2023-03-24 18:00:00",3,"Site 2",30.5498,-96.4115,75,13.45,13.45,33.55
"2023-03-24 19:00:00",4,"Site 2",30.5498,-96.4115,75,13.45,13.45,31.17
"2023-03-24 20:00:00",5,"Site 2",30.5498,-96.4115,75,12.76,12.76,22.92
"2023-03-24 21:00:00",6,"Site 2",30.5498,-96.4115,75,12.68,12.68,18.02
"2023-03-24 22:00:00",7,"Site 2",30.5498,-96.4115,75,12.61,12.61,15.42
"2023-03-24 23:00:00",8,"Site 2",30.5498,-96.4115,75,12.54,12.54,13.93
"2023-03-25 00:00:00",9,"Site 2",30.5498,-96.4115,75,12.47,12.47,12.36
"2023-03-25 01:00:00",10,"Site 2",30.5498,-96.4115,75,12.43,12.43,11.6
"2023-03-25 02:00:00",11,"Site 2",30.5498,-96.4115,75,12.41,12.41,10.6
"2023-03-25 03:00:00",12,"Site 2",30.5498,-96.4115,75,12.39,12.39,9.69
"2023-03-25 04:00:00",13,"Site 2",30.5498,-96.4115,75,12.36,12.36,8.85
"2023-03-25 05:00:00",14,"Site 2",30.5498,-96.4115,75,12.34,12.34,8.67
"2023-03-25 06:00:00",15,"Site 2",30.5498,-96.4115,75,12.32,12.32,7.861
"2023-03-25 07:00:00",16,"Site 2",30.5498,-96.4115,75,12.29,12.29,6.619
"2023-03-25 08:00:00",17,"Site 2",30.5498,-96.4115,75,12.28,12.31,6.714
"2023-03-25 09:00:00",18,"Site 2",30.5498,-96.4115,75,12.33,12.42,13.02
"2023-03-25 10:00:00",19,"Site 2",30.5498,-96.4115,75,12.47,12.55,20.6
