"TOA5","3","CR300","7201","CR300.Std.07.00","CPU:Site 3 (Field).CR300","44992","TDR315"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","BattV","TDR315N_5_VWC_Avg","TDR315N_10_VWC_Avg","TDR315N_20_VWC_Avg","TDR315N_50_VWC_Avg","TDR315N_5_T_Avg","TDR315N_10_T_Avg","TDR315N_20_T_Avg","TDR315N_50_T_Avg","TDR315N_5_EC_Avg","TDR315N_10_EC_Avg","TDR315N_20_EC_Avg","TDR315N_50_EC_Avg","TDR315N_5_Perm_Avg","TDR315N_10_Perm_Avg","TDR315N_20_Perm_Avg","TDR315N_50_Perm_Avg"
"TS","RN","name","decdegrees","decdegrees","m","Volts","%","%","%","%","Deg C","Deg C","Deg C","Deg C","microS/cm","microS/cm","microS/cm","microS/cm","unitless","unitless","unitless","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-03-31 16:00:00",0,"Site 3",30.55886,-96.41177,75,13.44,11.9,11.87,21.63,33.97,27.3,23.33,21.27,19.23,28,23,83,363,6.7,6.7,11.5,19.53
"2023-03-31 17:00:00",1,"Site 3",30.55886,-96.41177,75,13.44,11.9,11.9,21.8,33.95,28.25,24.5,21.85,19.3,29,23,84,363,6.7,6.7,11.6,19.5
"2023-03-31 18:00:00",2,"Site 3",30.55886,-96.41177,75,13.44,11.9,11.8,21.83,34,28.07,24.87,22.2,19.27,29,23,84.7,363,6.7,6.7,11.6,19.53
"2023-04-01 13:00:00",3,"Site 3",30.55886,-96.41177,75,13.46,11.7,11.7,21.45,34,25.35,21.6,20.2,19.8,26,21.5,81,368.5,6.6,6.6,11.4,19.55
"2023-04-01 14:00:00",4,"Site 3",30.55886,-96.41177,75,13.42,11.67,11.67,21.5,34.03,27.33,22.87,20.73,19.8,27.33,22,81.7,367.3,6.6,6.6,11.4,19.57
"2023-04-01 15:00:00",5,"Site 3",30.55886,-96.41177,75,13.42,11.67,11.7,21.6,34.03,28.53,24.2,21.4,19.77,28,22.67,83,367,6.6,6.6,11.5,19.6
"2023-04-01 17:00:00",6,"Site 3",30.55886,-96.41177,75,13.48,11.5,11.6,21.65,34,27.15,24.85,22.55,19.8,28,23,85,367.5,6.5,6.6,11.5,19.55
"2023-04-02 15:00:00",7,"Site 3",30.55886,-96.41177,75,13.53,11.3,11.4,21.3,34,23.1,21.5,20.7,20,25,21,82,369,6.4,6.5,11.3,19.5
"2023-04-02 16:00:00",8,"Site 3",30.55886,-96.41177,75,13.51,11.3,11.5,21.3,34,24,22.1,20.9,19.9,25,21,82,369,6.4,6.5,11.3,19.5
"2023-04-03 13:00:00",9,"Site 3",30.55886,-96.41177,75,13.44,12.3,11.7,21.4,34,27,23.3,21.5,20.1,32,23,84,371,6.9,6.6,11.4,19.5
"2023-04-03 14:00:00",10,"Site 3",30.55886,-96.41177,75,13.42,12.3,11.67,21.33,34,28.37,24.2,21.8,20.03,32.67,23,84,369.7,6.9,6.6,11.33,19.53
"2023-04-03 15:00:00",11,"Site 3",30.55886,-96.41177,75,13.42,12.23,11.7,21.5,33.93,29.77,25.43,22.4,20.07,33,24,85.3,369,6.833,6.6,11.43,19.5
"2023-04-03 16:00:00",12,"Site 3",30.55886,-96.41177,75,13.42,12.17,11.7,21.6,34,30.3,26.3,23.1,20.07,33,24.33,86.3,369,6.8,6.6,11.47,19.5
"2023-04-03 17:00:00",13,"Site 3",30.55886,-96.41177,75,13.42,12.13,11.67,21.57,33.93,30.53,26.83,23.63,20.13,33,25,87.3,369.3,6.8,6.6,11.47,19.5
"2023-04-03 18:00:00",14,"Site 3",30.55886,-96.41177,75,13.41,12.03,11.6,21.67,34,30.07,27.13,24.07,20.17,33,25,88.3,369.7,6.767,6.6,11.53,19.53
"2023-04-04 12:00:00",15,"Site 3",30.55886,-96.41177,75,13.51,11.7,11.5,21.3,34,24.5,23,22.3,21,28,23,85,379,6.6,6.5,11.3,19.6
"2023-04-04 13:00:00",16,"Site 3",30.55886,-96.41177,75,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191,-8.191
